texto;sentimento
Insisto: com todo o respeito a quem gostou, mas esse livro é desprezível;neg
Ruim, uma estória muito previsível, como em todos os livros que ele escreve;neg
Parece que escreve sob receita, algumas pessoas gostam de o que ele escrevem e ele vende a os milhares;neg
Pacto perfeito, nada a reclamar;neu
O preco de a Ambição ;neu
As pessoas matam, morrem, traem, sofrem, machucam, magoam, criam guerras e acabam umas com as outras e com si mesmas a troco de dinheiro e poder;neg
O poder pode dominar uma pessoa, o que se torna muito ruim;neg
Leitura obrigatória ;pos
O Reverso da Medalha é de longe uma de as obras mais fortes e bem montadas de o gênio que Sidney Sheldon foi;pos
E com certeza, uma de as grandes obras de a literatura romancista;pos
O livro está marcado por personalidades fortíssimas, apaixonantes, eu deveria dizer;pos
A mais forte de elas é sem dúvida, Kate Blackwell, o sobrenome indica um bem negro, e acaba por indicar de uma forma geral a personalidade de tão intrigante personagem;pos
Ela manipula, joga, ama e é fria, e tudo a o mesmo tempo;neu
Você percebe, conversando com os leitores, que Kate é a o mesmo tempo a mais amada e a mais odiada;neu
É absolutamente um grande livro que consegue facilmente marcar o leitor de forma forte e altiva;pos
Leitura obrigatória para os amantes de a literatura;pos
Diamantes ;neu
Os diamantes resistem a golpes de tal maneira que um martelo de ferro pode rachar em dois e a própria bigorna pode ficar abalada;neu
Essa força invencível, que desafia as duas forças mais violentas de a Natureza, o ferro e o fogo, pode ser quebrada por sangue de carneiro;neu
Mas deve ser embebida em sangue que seja fresco e quente, mesmo assim, muitos golpes são necessários;neu
- Plínio o Velho-Jamie McGregor era um garoto que almejava muito, e com muito suor conseguiu tudo o que queria;neu
Foi traido por alguém que se disse amigo e ofereceu ajuda;neg
Foi deixado a a mercê de a morte;neu
Mas consegui dar a volta por cima com a ajuda de seu amigo Banda;neu
Mas todo o ódio que ele alimentou para exercer sua vingança não abandonou mais seu coração, e o tornou cruel para com aqueles que o amavam, Margarete por exemplo;neu
Só depois de ver o filho é que seu coração se deixou quebrantar;neu
Por três gerações é repassada a herança de os McGregors;neu
A geração Bleckwell tornou a herança ainda maior, internacionalizando a Empresa Kruger-Brent, e o fez uma de as famílias mais ricas de o mundo;neu
Mas o ódio, a maldade e o egoísmo está sempre envolto de essa família, mostrando que nem sempre toda uma riqueza pode trazer a paz, o amor e a felicidade que se deseja;neu
Perfeito;pos
Não existem palavras que possam definir essa obra prima;pos
Sidney Sheldon mais uma vez dá um banho em seus sucessores que tentam se igualar a mente de seu mestre;pos
Mas eles não compreendem que isso é impossivel né? ;neu
Tá pra nascer um escritor que seja tão sagaz e audacioso como Sheldon;pos
Ele não vacila em nenhum momento e em a maioria de as vezes deixa o leitor sem ter a minima idea de o que possa acontecer por mais que se especule;pos
Sheldon é nota 1000000000000000000000000000000000000000000000000000000000000;pos
Adorei o final de Eve, melhor impossível;pos
Esse livro tem uma narrativa q te prende, isso é bem verdade;pos
Mesmo assim, achei algumas partes de a história previsíveis e o final um tanto quanto tosco;neg
A verdade é q não me identifico muito com a escrita de esse autor e resolvi ler um de os livros mais aclamados de ele justamente pra confirmar isso;neg
O melhor de Sidney Sheldon ;pos
Para muitos o melhor livro de Sidney Sheldon;pos
Uma história que atravessa gerações, iniciando com um jovem sonhador que cruza todo o continente Africano em busca de seu destino, até uma mega corporação mundial liderada por um de seus descendentes;neu
A personagem central é sem dúvida a mais forte presença de todos as histórias de Sheldon;pos
O mais de o mesmo um pouco mais cativante, ascensão social, uma mulher poderosa, intriga, relações por interesse, e personagens sem receios de fazer o que for preciso para alcançar suas ambições;pos
A história tem vários furos e, se você parar pra pensar, é só mais um romancezinho americano sem sal, com a menininha bonita, mas tímida, que faz de tudo pra ser invisível e o cara perfeito ;neg
Livro bem chatinho;neg
Contradições ;neg
Tipo quando o fenômeno estorou, só se ouviu falar bem de Crepúsculo;pos
Acontece, que o livro não é tudo isso que se esperava, até mesmo pq ele destorce muito as lendas, dá um ar de perfeição a mote após a vida, em a figura de o vampiro;neg
Falando assim morrer parece ser bom, parece ser o sonho de todo mortal, ser transaformado em vampiro, pois se torna perfeito, belo, voraz e forte;neu
O que não é de fato, pois alguém que alimenta de a propria fonte de vida de outro, não tem nada de bonito, não é perfeito, é uma aberração;neg
Tédio ;neg
Fui até a metade, mas não consegui prosseguir Achei muito parado;neg
Quando minha irmã me passou falando que era um romance com vampiros e tal, pensei que aconteceria muita coisa, que seria empolgante, mas nada aconteceu ;neg
Abandonei o livro crepúsculo por que eu gosto é de realidade, algumas coisas me fascinam outros já nem tanto e em o caso de este livro não me chamou atenção nenhuma há não ser por o nome, todos que conheceço ja leram, ja assistiram filme, e são apaixonados por crepúsculo eclipser enfim;neg
Mais uma coisa que não me dá prazer nenhum é histórinhas de vampiros, que são gente, que amam enfim é como se meu cachorro falasse com mim e viesse a passar ser meu namorado, nada contra mais também nada a favor;neg
Horrível ;neg
Acho que este livro não merece nem mesmo uma estrela;neg
Em a verdade, não consegui nem ler o primeiro capítulo, porque a história é muito chata e, para piorar, a personagem principal Bella é muito fútil e superficial;neg
Não confie em Hollywood ;neg
Nossa existe quem não goste de ler livro após ter assistido a o filme, mas sinceramente eu gosto bastante;pos
Primeiro por a comparação se a história em o cinema é realmente fiel a o livro, segundo por que existe muito mais em as entrelinhas;neu
O que consegui ler em as entrelinhas foi que o personagem de o Edward é 500 vezes mais interessante de o que em o filme;pos
A história de Alice e Carlisle também me fascinaram;pos
Confesso que algumas modificações feitas para o filme deixaram a história mais dinâmica o que para o cinema vem a calhar;pos
Enfim ler o livro e assistir a o filme não são mutuamente exclusivos por o contrário, são complementares;neu
Ambos interessantes para quem gosta de romance fantástico;pos
Perfeito ;pos
Crepúsculo, o livro perfeito de a minha vida;pos
Perfeito não só por causa de suas frases magníficas, de os personagens, principalmente de o Edward que quando acabei de ler esse livro notei que estava apaixonada por ele, mais também por ele ser muito bem escrito;pos
Crepúsculo com certeza é um livro perfeito, completamente irresistível, cheio de mistérios e um romance inexplicavelmente inexplicável de Bella e Edward: um vampiro que tinha sede de o sangue de Bella, mais que se torna o seu anjo em todas as horas em que pensava que iria morrer;pos
Ele então a salva várias vezes de a morte, e juntos descobrem que estão irregovalvelmente apaixonados um por o outro;neu
Este é um livro fictício mais que mostra a importância de um verdadeiro amor que principalmente as meninas queriam ter;neu
Sua autora, Stephenie, soube contar tão bem a história entre uma humana e um vampiro que este livro se tornou sucesso mundial em todas as idades;pos
Eu li e recomendo para todos ;pos
Principalmente para quem quer se apaixonar por o encantador Edward Cullen;pos
O melhor;pos
Intenso, romantico, inesperado, brilhante, apaixonante, sexy;pos
Decepcionante;neg
História clichê, recheada de coisas impossíveis até em o mundo de o maravilhoso, escrita péssima, personagens mal-construídos e alienados;neg
Um vampiro brilhante que lê mentes, uma heroína estúpida, metida a perfeitinha e solitariamente rodeada de pessoas;neg
Personagens secundários que não se desenvolvem nunca, metáforas cansativas e totalmente sem nexo;neg
Romancezinho adolescente água-com-açúcar, ridículo;neg
Mostra claramente a falta de direção de a geração atual por a tal febre mundial;neg
Que falta Bram Stoker faz em essas horas;neg
Li, pois sou a favor de conhecer algo antes de sair por aí fazendo críticas baseado em o que se ouve, ou se tá em a moda gostar ou não gostar de algo;neu
Li e meu máximo foi terminar o segundo livro, não precisei de mais pra confirmar que Stephanie Meyer seria mais sensata se deixasse sua imaginação incrivelmente fértil somente pro mundo de os seus sonhos;neg
É triste ver como esse livro conquistou milhares de adolescentes pior, não só adolescente, mas também mulheres ADULTAS e em o mínimo frustradas com suas vidas amorosas/sexuais, que passaram a desejar uma história de amor semelhante a história vivida por Bella e Edward;neg
Pra mim isso não é amor, é obsessão e doença;neg
Amor não é você abdicar de sua vida, amigos, família por uma pessoa;neg
Principalmente se essa pessoa for um vampiro;neu
Vampiro que brilha em o sol;neu
Não recomendo esse livro pra ninguém;neg
O meu favorito ;pos
Se houver amanhã foi um de os livros mais empolgantes que já li;pos
Uma história rica em detalhes e artimanhas que até chegam as nos fazer prender o folego esperando o que vai acontecer, como a personagem irá se sair para resolver seus crimes;pos
Sempre indico este livro a os meus amigos;pos
Este livro nos faz torcer pra o crime, um jogo de inteligencia misturado com amor;pos
Com certeza merecia uma continuação;pos
Perfeito;pos
Sem duvidas é um de os melhores livros que já li, a historia é incrível, super movimentada e bem desenvolvida, os personagens são marcantes e a narrativa é impecável;pos
O autor te envolve de uma maneira tão forte que você não consegue largar o livro até o fim, absorto em os fatos apresentados e tentando descobrir o que virá a seguir, a historia é cheia de reviravoltas e te deixa surpreso a todo o momento;pos
O livro conta a historia de Tracy, que esta irrevogavelmente em o topo de o meu top de protagonistas, ela é literalmente uma guerreira, passa por uma serie de acontecimentos difíceis e nós acompanhamos sua impressionante e de certa forma impactante transformação, sua característica mais marcante é a inteligência, ela é simplesmente incrível;pos
Com seu rostinho bonito, sua inteligência aguçada e seu ar de inocente ela é a profissional perfeita, de a qual ninguém suspeitaria;pos
Esse é o primeiro livro que eu leio de o autor e definitivamente ele já é um de os meus autores favoritos;pos
Se Dormir Lendo Este Livro ;neu
Se Houver Amanhã Resolvi ler Sidney Sheldon por que minha esposa ficava me falando de essa estória de ele que era o máximo, e essa estória era justamente Se Houver Amanhã;neu
Resolvi dar uma pesquisada em o cara e descobri que ele tinha sido o único escritor a ganhar os três maiores prêmios de os Estados Unidos e vendeu apenas 300 milhões de livros em toda a sua carreira;pos
Uau, eu pensei, os livros de ele devem ser o máximo;neu
Então lá fui eu ler Se Houver Amanhã;neu
Toda a parte legal de a estória, que são mais ou menos umas vinte páginas, minha esposa já tinha me contado;neu
Você tem uma protagonista burra que dói que faz uma besteira atrás de a outra, acaba presa por um crime que não cometeu e entra pra faculdade de a malandragem em a penitenciária;neg
Quando ela sai, vai procurar vingança;neu
Parece legal, mas dá sono;neg
O enredo de a estória não é ruim, parece um filme de ação aliás, Sidney Sheldon era roteirista antes de fingir que era escritor;neg
Agora, os personagens, os relacionamentos e os diálogos são muito fracos;neg
Os personagens passam a se amar e a se desamar de uma hora pra outra e eles são completamente volúveis e superficiais;neg
Em um filme, acho que você nem perceberia;neu
Em um livro, fica muito claro que o autor tinha uma estória e precisava inventar alguém pra vivê-la;neg
Mais ou menos ;neg
O livro é envolvente e tal, te prende em o começo, mas de o meio pro final parece meio forçado, o autor meio que começa a inventar histórias demais, não havendo uma ligação coerente entre elas, fica uma impressão de que se está lendo algum tipo de livro seriado, sei lá, com várias histórias diferentes em o mesmo livro;neg
Não é a melhor obra de o grande Sidney Sheldon, mas recomendo, uma boa leitura pra passar o tempo;pos
Este foi o primeiro livro que li de Sidney Sheldon;neu
Nunca fui fã de romances, mas minha amiga em a época falou tão bem, contou algumas partes e acabei pegando emprestado;neu
Devorei;pos
Adorei a personagem Tracy, sua transformação, crescimento;pos
Algumas passagens de o livro me fizeram contorcer, mas Tracy foi forte e me impressionei com o andamento de a trama;pos
Ô, vingança boa e inteligente;pos
Sabe aquele ditado as quietinhas são as piores ? ;neu
Então, leia e use esta personagem maravilhosa como exemplo;pos
Soube que existe um filme, mas até então só soube de a minissérie, qual ainda não assisti e continuo procurando loucamente em a web;neu
Nunca vi a minissérie, mas se seguir o roteiro de o livro, com certeza, será um puta filme;pos
É um livro com uma história simples;neu
ele te prende mais por causa de a personagem de o que por o enredo;neu
p. s;neu
mas o suspense e as peripécias de tracy são bem descritas e aguçam a curiosidade;pos
O melhor livro de Sidney Sheldon ;pos
Pra mim, esse foi o melhor livro de o S.S. A personagem de o livro Tracy, é so sofrimento em o começo, sofremos junto com ela ela perde tudo assim que sabe que sua mãe cometeu suicidio, ela quer se vingar de o sujeito e acaba presa e ninguem ajuda, nem o noivo de ela mas ela sai de a cadeia resolve se vingar de todos ela vira uma vigarista, que consegue fazer roubos, que nem a policia consegue descobrir, e msm assim a gente torce por ela, pra não ser pega é muito bom ah é tem o Jeff, outro vigarista, os dois se apaixonam ah é muito bom;pos
Com ctz o melhor;pos
Em a minha opinião é o melhor livro de Sidney Sheldon;pos
Perfeito;pos
Vc não consegue parar de ler um minuto;pos
Tracy é ótima;pos
Faz a gente rir, chorar, sentir raiva Impossível parar de ler;pos
nem parece Sheldon ;neg
Já li muitos livros de Sidney Sheldon e gostei de poucos;neg
Geralmente têm o mesmo enredo e são muito previsíveis;neg
Porém, este eu realmente gosto;pos
Já li várias vezes e sempre é um passatempo muito bom;pos
A heroína de o livro é uma ladra e suas aventuras e criações são ótimas;pos
Acho que o leitor uso meu exemplo se realiza através de Tracy, imaginando como faria para se vingar de um mundo injusto e ganhar com isso;pos
A heroína acaba conquistando a simpatia de o leitor, que torce por ela de o começo a o fim;pos
Primeiro livro que li de o autor;neu
Em o princípio estava lendo receosa, já que inúmeras pessoas falam mal de o Sidney Sheldon;neu
Mas foi essa obra que me fez amar todas as outras de o autor;pos
História intrigante que prende a atenção e surpreende a cada página;pos
Um ótimo livro, além de ser um ótimo alerta para uma potencial distopia, em contraponto a utopia tão sonhada por os homens de o medievo e início de a modernidade;pos
O devaneio de uma sociedade perfeita e fraterna, deu lugar a a perspectiva de o extremo totalitarismo, em a qual até a liberdade de opinião, inclusive a não expressada, é perseguido como pensamento-crime;neu
Sabe-se muito bem que este pessimismo vigente em a data de lançamento de o livro se deu devido a a duas guerras mundiais, em a qual uma a pouco findara, ditaduras de Franco e Salazar em a península ibérica, o fascismo pregado por Hitler e Mussolini, a revolução social Chinesa, além de a malfadada traição cometida por o famigerado Joseph Stalin;neu
Prefiro restringir meu comentário sobre o livro A as breves linhas acima, em respeito a os futuros leitores, mas aconselho o livro tanto como uma leitura lúdica quando como um questionamento sobre os limites de a insanidade humana em busca de o poder. ;pos
Sabe quando você espera muito de um livro? ;neu
O autor é bom, o livro é famoso, adaptaram pro cinema, é logico que é bom, bem, me enganei;neg
Foi tão díficil terminei este livro, e como o DVD estava em casa eu pensei vou assistir o filme pra me incentivar a terminar, e foi aí que a coisa piorou;neg
Vi que o final era horrível;neg
COMO TERMINAR UM LIVRO RUIM SABENDO DE O FINAL PÉSSIMO? ;neg
Resposta: Você vai arrastando, igual lição de casa;neg
E foi assim que o fiz, e terminei;neu
Eu só acrescentei uma estrela a mais por a ideia, o mundo Big Brother é fictício, mas não surreal;neu
E claro, por o crédito a a George Orwell, o livro de ele foi imortalizado, não tem como eu ignorá-lo totalmente;neu
E o começo é ótimo, acho que isso fez eu esperar ainda mais de o livro, Orwell ambientalizou o mundo antes de conta a história;pos
Minha dica: Leia até começar as falas;neu
O livro só bom aí;pos
Só assim é possível dar 5 estrelas;neu
Conceito Big Brother ;neu
O livro talvez desanime leitores mais afoito em suas primeiras páginas;neg
A história não tem pressa para acontecer e a ação só começa mesmo de a metade para o final;neu
Em o entanto o seu conteúdo é extremamente reflexivo;neu
A discussão sobre o controle de o governo sob o livre abítrio é ímpar e merece uma atenção especial;neu
Uma pena que uma obra de qualidade indiscutível tenha inspirado um reality show de gosto duvidoso;neu
Tem uma grande história, mas infelizmente eu não tenho saco pro estilo de escrever de o autor;neg
Li esse livro em o meu tempo de colégio e até hoje me lembro como em o começo foi muito difícil a leitura;neg
Em a época meu vocabuláro ainda não era essas coisas, então lia com um dicionário a tira colo;neu
Em a verdade em o começo estava achando insuportável o livro;neg
Depois simplesmente fui me encantando com o livro;pos
E acabei devorando o restante de o livro;pos
Achei uma visão meio louca de um mundo, em a época de o futuro;neu
Li o livro em o próprio 1984, e depois descobri que o livro fora escrito em 1948;neu
Entre teletelas, O Grande Irmão e sua filosofia, achei o livro maravilhoso;pos
Vale a leitura e vale a re-leitura;pos
Minha parte favorita de o livro ;pos
Que ódio;neg
Esse livro exagera em todo aspecto psicológico e inova quanto a o auto-engano de forma incrível;neg
E em o final você ficará com ódio, pode ter certeza;neg
O primeiro é enfadonho, apenas uma longa e detalhada descrição de a realidade em a qual o personagem está inserido e algo sobre ele;neg
Porém, é o que se pode chamar de um mal necessário, já que sem essa base os capítulos seguintes fariam menos sentido;neg
Em o segundo a história fica interessante, as coisas começam a acontecer e prende a atenção afinal;pos
O último mantêm o ritmo e oferece, de quebra, um pequeno curso de como extrair informações de pessoas, além de como doutrina-las definitivamente, lamentável tê-lo lido somente agora;neg
A história em si é interessante;pos
A sensação de não ter saída, de falta de liberdade, o controle, quase claustrofobia;neg
Em vários pontos chega a ser um relato de a realidade vivida em os dias atuais, em menor ou maior grau, em o mundo todo;neu
Bom livro;pos
O Grande Irmão está de olho em você;neu
Contra-indicado para os mais impressionáveis;neg
Muitos anos se passarão, livros e mais livros serão lidos e não me esquecerei de esse;pos
Contém medo e suspense desde a primeira linha;neu
Dou meus parabéns para quem consegue ler mais de um capítulo de 1984 de uma sentada só;pos
Porque apesar de ser um livro com uma história muito boa e interessante, ele é extremamente monótono;neu
A verdade é que 1984 não tem uma história pra contar;neg
A o contrário de Laranja Mecânica, onde o personagem principal em os mostra um mundo decadente através de sua história de adolescente rebelde sem causa que é preso, aqui temos um personagem principal que poderia ser qualquer um, afinal o que importa é a situação de a humanidade vivendo em um mundo totalitarista;neg
E é apenas isso que o livro nos mostra, como o mundo vai ser se continuar indo por o caminho que vem seguindo, ou ia seguindo antes de 1984;neu
hehehehe Outra coisa também diferente de seu livro-irmão é que em Laranja Mecânica, todo o linguajar usado por os jovens é compreensível mesmo sem a ajuda de o glossário embutido em a versão nacional, enquanto que a novilíngua é incompreensível, se bem que pensando agora, acho que é justamente o objetivo de o autor;neg
Surreal ;neu
Saramago explora a fantasia atrelada a cegueira de uma maneira muito doida;neu
Ela alastra-se de maneira exponencial;neu
Começa com um motorista em o sinal e termina com toda população de uma cidade;neu
Exceto a esposa de um oftalmologista ironia;neu
A leitura terá um caráter muito pessoal;neu
Cada leitor irá comparar essa cegueira com a visão de mundo que cada um tem;neu
Essa edição que adqueri tem os diálogos separados apenas por vírgulas, o que dificulta o entendimento;neg
Os personagens não tem nome, apenas apelidos motorista, rapariga de óculos, mulher de o médico, etc.;neu
O romance é permeado por ditos populares e provérbios;neu
A maneira como Saramago conduz a história tem sua marca: simplicidade;neu
Mesmo assim, não chegou a me impressionar com obra de 5 estrelas;neg
O livro tem uma ótima linguagem e aborda temas que nos levam a uma reflexão, sobre o nosso comportamento em uma sociedade cada vez mais hipócrita em que a ética e os bons costumes estão cada vez mais sendo esquecidos;neu
Todo mundo tem que ler este magnífico livro de Saramago;pos
A angústia de a leitura me volta quando tento escrever esta resenha;neg
Se a angústia inicial que o livro nos coloca já assusta, imagina, a quase afirmativa de o livro que: VOCÊ NÃO ENXERGA;neu
Vê através de a mídia, de a sociedade, de as crenças;neu
Sem a visão que acreditamos ter, nos tornamos, verdadeiramente, o que somos;neu
Nojento, assustador tornamo-nos animais, seres que se voltam para o eu, como se a cegueira branca, que é colocada, fosse como se estivessemos olhando para dentro de nós mesmo, esperando ver alguma coisa, mas em a verdade não vemos nada;neg
Leiam;pos
Impossível não gostar;pos
adaptabilidade ;pos
Confesso que em o começo não gostei;neg
Depois fui curtindo;pos
Em o final, me envolvi, me vi vendo tudo que os personagens não viam;pos
E tudo que de fato os olhos não vêem, o coração, o corpo e a mente não sente, demonstrando a capacidade de o ser humano em, em situações extremas, conseguir demonstrar ser capaz de uma adaptabilidade;pos
Meu contato com os dramas de a cegueira propriamente dita aconteceu a o ler a biografia de Cego Aderaldo e ler o seu emocionante poema As três lagrimas ;pos
Depois de isso foi minha propria cegueira em as relações de a vida e em a cegueira de os outros, que sempre vi mais de o que a minha;neg
O livro de Saramago é espetacular;pos
Como outros livros de o mesmo estilo Jangada de Pedra e As intermitencias de a Morte, ele parte de um acontecimento absurdo e depois explora todas as consequencias que são perfeitamente plausiveis;pos
Em os livros de Saramago, voce encontra historia, profundo conhecimento de as virtudes e fraquezas humanas, encontra frases de profundo significado, etc. Todos somos cegos mas podemos voltar a enxergar;pos
Vontade de gritar, chorar, bater e ler de novo;pos
Gostei tanto de o livro de José Saramago quanto de o filme dirigido por Meirelles;pos
Claro que o livro é sempre melhor, pois nada é tão bom e poderoso quanto nossa imaginação;pos
Ambos em os fazem ter vontade de gritar, chorar, bater e ler de novo;pos
A obra mostra como pode ser sujo e grotesco o caráter de os homens, apresenta o quanto as pessoas precisam de um referencial ideológico, religioso, utópico para ter um rumo, o quanto somos pequenos e vazios a o apresentar a degradação de a sensibilidade humana O fio de esperança está em a corrente de o bem e em querer se compartilhar o pequeno suspiro de bondade que existe;neu
Um livro para refletir ;neu
Em síntese, a história fala sobre uma cegueira branca que atinge a humanidade a os poucos levando-a perder todos os traços de civilidade;neu
O que passa a ver é a lei de o mais forte;neu
É um livro que prendeu minha atenção de o começo a o fim e me fez refletir bastante sobre o assunto proposto por o autor, que a humanidade não é boa por natureza;pos
Esse não é um mero romance;neu
É um ensaio sobre a cegueira de o homem SOBRE A SUA PRÓPRIA NATUREZA;neu
Esse livro pinta uma ficção onde os homens viveriam em um lugar onde o sistema não existe, onde o poder de o mais forte impera;neu
É um livro muito doloroso, mas magnífico a o mesmo tempo;pos
Recomendadíssimo;pos
bom;pos
Eu gostei de o livro que conta a historia de malu a o correr de a vida e com seus professores;neu
Fala Sério, Pai;neu
Este livro conta a história de uma garota chamada Malu, que sofria muito com o preconceito de o pai, pois o pai achava a ideia de ela jogar futebol era ruim, porque achava que esse jogo era para o sexo masculino, não para o sexo feminino, mais Malu ensinou para ele que mesmo sendo mulher tem abilidades suficientes para ser uma grande jogadora de futebol;neu
Fala Sério, PAI;neu
Um livro bom, mas não é meu favorito de a Thalita;pos
Metade de ele é contado por o próprio pai de a Malu e a outra metade por ela;neu
Eu só acho que gosto mais por o ponto de vista de a própria protagonista de a história, assim entendemos suas ideias e o por que de as coisas que ela faz e diz;pos
Achei o livro engraçado, e releria, mas apenas por ser engraçado;pos
Embora o livro seja legal, não gosto de a literatura de a Thalita Rebouças, acho que os livros de ela deveriam ser menos engraçados e mais interessantes, pois um livro tem que te prender, aí que é bom mesmo;pos
A divertida tijucana Malu volta em esse livro, que falando sério é muito divertido;pos
tal pai, tal filha ;neu
Mais uma vez fiquei entre as risadas sobre as histórias de Malu com seu pai e a reflexão sobre relação pais e filhos;neu
A o mesmo tempo que aprendemos com nossos pais, eles aprendem com nós, é uma dupla troca de afeto, carinho, ensinamentos e experiências;pos
Amo muito meu pai e só tenho o que agradecer por tudo que ele faz por mim todos os dias;pos
Thalita Rebouças me surpeende a cada livro que leio de ela;pos
Em Fala Sério, Pai o pai de Manu começa narrando o que é super legal pois vemos o ponto de vista de ele em relação a vida de Manu, aprendemos que as vezes é necessário que nossos pais digam não pra nós, vimos como a relção de eles dois é bastante aberta;pos
A leitura é facil e não é cansativa ou repetitiva o que dá um livro um ar bem light diremos assim;pos
Se ainda não o leu e tem vontade de de lê-lo faça isso o mais rápido você não irá se arrepender;pos
O que um pai dá em troca de um jogo de futebol? ;neu
Pouca coisa;neu
E isso incluí Malu, a paixão e orgulho de seu pai;pos
E essa amizade entre os dois gera divertidas, e A as vezes desagradáveis e vergonhosas, histórias entre pai e filha;neu
Leia;pos
É um livro que conta as trapalhadas e engraçadas histórias de Malu uma garotinha que mora em a Tijuca e ADORA seu papai e seu pai Pai de primeira viagem que não tem muita experiência, e com isso acaba se atrapalhando com a sua anjinha P. S: Eu gostei de este livro, é muiito engraçado, mas, não é um de os melhores;pos
O livro conta a história de Maria de Lourdes;neu
Mostra um pouco de a visão de o pai de ela sobre parte de a vida de ela;neu
Depois de vermos o lado de a mãe de a Malu em o livro Fala sério, mãe ;neu
Tinha chegado a hora de saber mais sobre o pai de ela;neu
O primeiro banho que o pai de ela deu em a mesma, as aventuras de eles dois e muito mais;neu
Um livro bom que mostra o lado de os nossos pais e suas reações a perceberem que seus filhos estão crescendo;pos
Amei;pos
Sou um pouco suspeita uma vez que já me considero fã de a Thalita;pos
Ok, tietismo a parte o livro narra de forma divertida a relação de Malu com seus professores, de os três a os vinte e dois anos de a pré escola até a faculdade incluindo alguns cursinhos É um livro de gênero infanto juvenil portanto costuma agradar mais a galerinha de 12 anos;pos
Mas eu o recomendo a todos que queiram dar boas gargalhadas :;pos
Malu ja com 22 anos relembra de suas aventuras enquanto ela tava em o colegial como quando ela tinha 15 anos e foi para floripa com sua turma e ela tinha medo de mar e de ondas e suas amigas a colocaram em umas aulas de surf onde ela levou cada tombo tambem teve a vez q ela com 18 anos foi para a autoescola para descobrir o q rolou la e outras aventuras de malu leia o livro;neu
Bem legal;pos
Sempre quis ler os livros de a série Fala sério de a Thalita Rebouças, pois muitas pessoas recomendavam e diziam que era ótimo;pos
Então, animada resolvi começar por o de o professor, e infelizmente me decepcionei muito;neg
A o contrário de o que imaginei, não me identifiquei nada com os professores de a Malu, e muito menos com ela;neg
Achei o livro muito artificial, e nada próximo de a realidade de os estudantes;neg
Li quando tinha 12 anos, e acredite, em essa idade já achei o livro infantil demais;neg
Devido a minha frustração, perdi um pouco de a vontade de ler os outros, mas imagino que sejam melhores;neg
Não vale a pena ;neg
É um livro chato e sem uma narração muito boa;neg
Diferente de os outrso de a série, ele não te prende a a estória e te insentiva a abandonar o livro;neg
Eu só terminei de lê-lo por falta de o que fazer;neg
Esse livro é muito divertido;pos
Todo mundo já teve algum tipo de professor igual a Malu;neu
Vale a pena ler;pos
Adoro os livros de a Thalita;pos
Esse é o tipo de livro que eu gosto pra passar a madrugada lendo é divertido, pequeno e simples;pos
Recomendo;pos
muito bom ;pos
eu adorei esse livro, pois ela conta a historia de como foi sua trajetória em a escola até os 22 anos, é muito divertido, é uma coleção ótima ;pos
TEM AQUELAS PROFESSORAS QUE DÁ VONTADE DE MATAR, MAS POR OUTRO LADO TEM AQUELAS QUE A OS POUCOS VAI TE CONQUISTANDO DE UM JEITO QUE QUANDO AGENTE VER JÁ É ESPECIAL E QUE SEMPRE VAI FICAR EM O NOSSO CORAÇÃO;neu
